Artikel-Nr	Artikelname	Einzelpreis	Anzahl	Rabatt	Bestelldatum	Kategoriename	Firma	Land	Nachname
56	Gnocchi di nonna Alice	38	5	20%	11.08.2021	Getreideprodukte	White Clover Markets	USA	Callahan
63	Vegie-spread	43,9	24	20%	11.08.2021	Gewürze	White Clover Markets	USA	Callahan
75	Rhönbräu Klosterbier	7,75	30	20%	11.08.2021	Getränke	White Clover Markets	USA	Callahan
27	Schoggi Schokolade	43,9	50	0%	14.08.2021	Süßwaren	Rattlesnake Canyon Grocery	USA	Davolio
71	Fløtemysost	21,5	9	0%	14.08.2021	Milchprodukte	Rattlesnake Canyon Grocery	USA	Davolio
27	Schoggi Schokolade	43,9	50	0%	14.08.2021	Süßwaren	Goose Canyon Grocery	USA	Davolio
71	Fløtemysost	21,5	9	0%	14.08.2021	Milchprodukte	Goose Canyon Grocery	USA	Davolio
62	Tarte au sucre	49,3	10	0%	15.08.2021	Süßwaren	B's Beverages	Großbritannien	Suyama
13	Konbu	6	60	0%	16.08.2021	Meeresfrüchte	HILARIÓN-Abastos	Venezuela	King
59	Raclette Courdavault	55	35	0%	16.08.2021	Milchprodukte	HILARIÓN-Abastos	Venezuela	King
54	Tourtière	7,45	4	0%	16.08.2021	Fleischprodukte	Hungry Coyote Import Store	USA	Peacock
73	Röd Kaviar	15	30	0%	16.08.2021	Meeresfrüchte	Hungry Coyote Import Store	USA	Peacock
13	Konbu	6	60	0%	16.08.2021	Meeresfrüchte	Gomez-Abastos	Venezuela	King
59	Raclette Courdavault	55	35	0%	16.08.2021	Milchprodukte	Gomez-Abastos	Venezuela	King
77	Original Frankfurter grüne Soße	13	5	25%	17.08.2021	Gewürze	Vaffeljernet	Dänemark	Callahan
48	Chocolade	12,75	6	10%	18.08.2021	Süßwaren	Furia Bacalhau e Frutos do Mar	Portugal	Davolio
76	Lakkalikööri	18	10	10%	18.08.2021	Getränke	Furia Bacalhau e Frutos do Mar	Portugal	Davolio
22	Gustaf's Knäckebröd	21	48	0%	18.08.2021	Getreideprodukte	Save-a-lot Markets	USA	Callahan
49	Maxilaku	20	25	5%	18.08.2021	Süßwaren	Save-a-lot Markets	USA	Callahan
16	Pavlova	17,45	30	5%	21.08.2021	Süßwaren	Mère Paillarde	Kanada	Davolio
59	Raclette Courdavault	55	20	5%	21.08.2021	Milchprodukte	Mère Paillarde	Kanada	Davolio
60	Camembert Pierrot	34	70	5%	21.08.2021	Milchprodukte	Mère Paillarde	Kanada	Davolio
71	Fløtemysost	21,5	15	5%	21.08.2021	Milchprodukte	Mère Paillarde	Kanada	Davolio
7	Uncle Bob's Organic Dried Pears	30	45	0%	22.08.2021	Naturprodukte	Save-a-lot Markets	USA	Buchanan
17	Alice Mutton	39	100	0%	22.08.2021	Fleischprodukte	Save-a-lot Markets	USA	Buchanan
33	Geitost	2,5	14	0%	22.08.2021	Milchprodukte	Save-a-lot Markets	USA	Buchanan
40	Boston Crab Meat	18,4	42	0%	22.08.2021	Meeresfrüchte	Save-a-lot Markets	USA	Buchanan
72	Mozzarella di Giovanni	34,8	12	0%	22.08.2021	Milchprodukte	Save-a-lot Markets	USA	Buchanan
4	Chef Anton's Cajun Seasoning	22	20	20%	22.08.2021	Gewürze	Tradição Hipermercados	Brasilien	Peacock
55	Pâté chinois	24	20	20%	22.08.2021	Fleischprodukte	Tradição Hipermercados	Brasilien	Peacock
62	Tarte au sucre	49,3	10	20%	22.08.2021	Süßwaren	Tradição Hipermercados	Brasilien	Peacock
56	Gnocchi di nonna Alice	38	28	0%	23.08.2021	Getreideprodukte	Toms Spezialitäten	Deutschland	Peacock
56	Gnocchi di nonna Alice	38	28	0%	23.08.2021	Getreideprodukte	Franks Spezialitäten	Deutschland	Peacock
1	Chai	18	3	0%	24.08.2021	Getränke	Du monde entier	Frankreich	King
10	Ikura	31	10	0%	24.08.2021	Meeresfrüchte	Du monde entier	Frankreich	King
21	Sir Rodney's Scones	10	6	0%	24.08.2021	Süßwaren	Du monde entier	Frankreich	King
36	Inlagd Sill	19	21	25%	25.08.2021	Meeresfrüchte	La maison d'Asie	Frankreich	Callahan
1	Chai	18	6	0%	25.08.2021	Getränke	Wolski  Zajazd	Polen	Suyama
2	Chang	19	10	0%	25.08.2021	Getränke	Wolski  Zajazd	Polen	Suyama
60	Camembert Pierrot	34	15	0%	25.08.2021	Milchprodukte	Wolski  Zajazd	Polen	Suyama
10	Ikura	31	70	0%	28.08.2021	Meeresfrüchte	Save-a-lot Markets	USA	Davolio
36	Inlagd Sill	19	55	0%	28.08.2021	Meeresfrüchte	Save-a-lot Markets	USA	Davolio
49	Maxilaku	20	18	0%	28.08.2021	Süßwaren	Save-a-lot Markets	USA	Davolio
60	Camembert Pierrot	34	40	0%	28.08.2021	Milchprodukte	Save-a-lot Markets	USA	Davolio
76	Lakkalikööri	18	80	0%	28.08.2021	Getränke	Save-a-lot Markets	USA	Davolio
11	Queso Cabrales	21	14	0%	29.08.2021	Milchprodukte	Blauer See Delikatessen	Deutschland	Callahan
21	Sir Rodney's Scones	10	8	0%	29.08.2021	Süßwaren	Blauer See Delikatessen	Deutschland	Callahan
39	Chartreuse verte	18	5	0%	29.08.2021	Getränke	Blauer See Delikatessen	Deutschland	Callahan
13	Konbu	6	8	10%	29.08.2021	Meeresfrüchte	HILARIÓN-Abastos	Venezuela	Peacock
75	Rhönbräu Klosterbier	7,75	40	0%	29.08.2021	Getränke	HILARIÓN-Abastos	Venezuela	Peacock
13	Konbu	6	8	10%	29.08.2021	Meeresfrüchte	Gomez-Abastos	Venezuela	Peacock
75	Rhönbräu Klosterbier	7,75	40	0%	29.08.2021	Getränke	Gomez-Abastos	Venezuela	Peacock
55	Pâté chinois	24	5	0%	30.08.2021	Fleischprodukte	Wilman Kala	Finnland	Fuller
38	Côte de Blaye	263,5	15	5%	31.08.2021	Getränke	Great Lakes Food Market	USA	Davolio
56	Gnocchi di nonna Alice	38	14	0%	31.08.2021	Getreideprodukte	Great Lakes Food Market	USA	Davolio
70	Outback Lager	15	15	5%	31.08.2021	Getränke	Great Lakes Food Market	USA	Davolio
71	Fløtemysost	21,5	15	5%	31.08.2021	Milchprodukte	Great Lakes Food Market	USA	Davolio
59	Raclette Courdavault	55	30	15%	31.08.2021	Milchprodukte	Great Lakes Food Market	USA	Peacock
6	Grandma's Boysenberry Spread	25	70	0%	01.09.2021	Gewürze	Mère Paillarde	Kanada	Davolio
56	Gnocchi di nonna Alice	38	20	0%	01.09.2021	Getreideprodukte	Mère Paillarde	Kanada	Davolio
68	Scottish Longbreads	12,5	15	0%	01.09.2021	Süßwaren	Mère Paillarde	Kanada	Davolio
21	Sir Rodney's Scones	10	42	0%	04.09.2021	Süßwaren	Mère Paillarde	Kanada	Leverling
22	Gustaf's Knäckebröd	21	40	0%	04.09.2021	Getreideprodukte	Mère Paillarde	Kanada	Leverling
19	Teatime Chocolate Biscuits	9,2	5	0%	05.09.2021	Süßwaren	Island Trading	Großbritannien	Peacock
23	Tunnbröd	9	10	0%	05.09.2021	Getreideprodukte	Island Trading	Großbritannien	Peacock
70	Outback Lager	15	20	0%	05.09.2021	Getränke	Island Trading	Großbritannien	Peacock
71	Fløtemysost	21,5	15	0%	05.09.2021	Milchprodukte	Island Trading	Großbritannien	Peacock
24	Guaraná Fantástica	4,5	5	0%	05.09.2021	Getränke	Laughing Bacchus Wine Cellars	Kanada	Fuller
52	Filo Mix	7	5	0%	05.09.2021	Getreideprodukte	Laughing Bacchus Wine Cellars	Kanada	Fuller
2	Chang	19	20	0%	06.09.2021	Getränke	Ricardo Adocicados	Brasilien	Peacock
68	Scottish Longbreads	12,5	18	20%	06.09.2021	Süßwaren	Ricardo Adocicados	Brasilien	Peacock
14	Tofu	23,25	21	0%	07.09.2021	Naturprodukte	Frankenversand	Deutschland	Callahan
19	Teatime Chocolate Biscuits	9,2	15	10%	07.09.2021	Süßwaren	Frankenversand	Deutschland	Callahan
21	Sir Rodney's Scones	10	25	10%	07.09.2021	Süßwaren	Frankenversand	Deutschland	Callahan
24	Guaraná Fantástica	4,5	3	0%	07.09.2021	Getränke	Frankenversand	Deutschland	Callahan
35	Steeleye Stout	18	30	10%	07.09.2021	Getränke	Frankenversand	Deutschland	Callahan
28	Rössle Sauerkraut	45,6	10	0%	07.09.2021	Naturprodukte	The Cracker Box	USA	Peacock
29	Thüringer Rostbratwurst	123,79	6	0%	07.09.2021	Fleischprodukte	The Cracker Box	USA	Peacock
44	Gula Malacca	19,45	10	0%	07.09.2021	Gewürze	The Cracker Box	USA	Peacock
14	Tofu	23,25	3	0%	08.09.2021	Naturprodukte	Ana Trujillo Emparedados y helados	Mexiko	Leverling
42	Singaporean Hokkien Fried Mee	14	5	0%	08.09.2021	Getreideprodukte	Ana Trujillo Emparedados y helados	Mexiko	Leverling
60	Camembert Pierrot	34	10	0%	08.09.2021	Milchprodukte	Ana Trujillo Emparedados y helados	Mexiko	Leverling
53	Perth Pasties	32,8	12	0%	11.09.2021	Fleischprodukte	Berglunds snabbköp	Schweden	Davolio
60	Camembert Pierrot	34	20	0%	11.09.2021	Milchprodukte	Berglunds snabbköp	Schweden	Davolio
71	Fløtemysost	21,5	20	0%	11.09.2021	Milchprodukte	Berglunds snabbköp	Schweden	Davolio
62	Tarte au sucre	49,3	15	0%	11.09.2021	Süßwaren	Save-a-lot Markets	USA	Callahan
73	Röd Kaviar	15	35	15%	11.09.2021	Meeresfrüchte	Save-a-lot Markets	USA	Callahan
1	Chai	18	25	0%	12.09.2021	Getränke	Blondel père et fils	Frankreich	Peacock
29	Thüringer Rostbratwurst	123,79	20	0%	12.09.2021	Fleischprodukte	Godos Cocina Típica	Spanien	Peacock
64	Wimmers gute Semmelknödel	33,25	9	0%	12.09.2021	Getreideprodukte	Godos Cocina Típica	Spanien	Peacock
55	Pâté chinois	24	12	5%	13.09.2021	Fleischprodukte	Königlich Essen	Deutschland	Davolio
76	Lakkalikööri	18	35	0%	13.09.2021	Getränke	Königlich Essen	Deutschland	Davolio
75	Rhönbräu Klosterbier	7,75	8	10%	14.09.2021	Getränke	La maison d'Asie	Frankreich	Callahan
2	Chang	19	30	5%	14.09.2021	Getränke	Die Wandernde Kuh	Deutschland	Callahan
33	Geitost	2,5	20	5%	14.09.2021	Milchprodukte	Die Wandernde Kuh	Deutschland	Callahan
12	Queso Manchego La Pastora	38	36	15%	15.09.2021	Milchprodukte	Ernst Handel	Österreich	King
13	Konbu	6	13	15%	15.09.2021	Meeresfrüchte	Ernst Handel	Österreich	King
26	Gumbär Gummibärchen	31,23	35	15%	15.09.2021	Süßwaren	Ernst Handel	Österreich	King
62	Tarte au sucre	49,3	80	15%	15.09.2021	Süßwaren	Ernst Handel	Österreich	King
7	Uncle Bob's Organic Dried Pears	30	35	0%	15.09.2021	Naturprodukte	Folies gourmandes	Frankreich	Peacock
18	Carnarvon Tigers	62,5	50	0%	15.09.2021	Meeresfrüchte	Folies gourmandes	Frankreich	Peacock
51	Manjimup Dried Apples	53	15	0%	15.09.2021	Naturprodukte	Folies gourmandes	Frankreich	Peacock
75	Rhönbräu Klosterbier	7,75	2	0%	15.09.2021	Getränke	Folies gourmandes	Frankreich	Peacock
12	Queso Manchego La Pastora	38	36	15%	15.09.2021	Milchprodukte	Ludwig Handel	Österreich	King
13	Konbu	6	13	15%	15.09.2021	Meeresfrüchte	Ludwig Handel	Österreich	King
26	Gumbär Gummibärchen	31,23	35	15%	15.09.2021	Süßwaren	Ludwig Handel	Österreich	King
62	Tarte au sucre	49,3	80	15%	15.09.2021	Süßwaren	Ludwig Handel	Österreich	King
4	Chef Anton's Cajun Seasoning	22	10	10%	18.09.2021	Gewürze	Magazzini Alimentari Riuniti	Italien	Callahan
5	Chef Anton's Gumbo Mix	21,35	15	10%	18.09.2021	Gewürze	Magazzini Alimentari Riuniti	Italien	Callahan
22	Gustaf's Knäckebröd	21	40	0%	18.09.2021	Getreideprodukte	Magazzini Alimentari Riuniti	Italien	Callahan
11	Queso Cabrales	21	10	0%	19.09.2021	Milchprodukte	Queen Cozinha	Brasilien	Suyama
50	Valkoinen suklaa	16,25	25	5%	19.09.2021	Süßwaren	Queen Cozinha	Brasilien	Suyama
56	Gnocchi di nonna Alice	38	60	5%	19.09.2021	Getreideprodukte	Queen Cozinha	Brasilien	Suyama
4	Chef Anton's Cajun Seasoning	22	25	0%	19.09.2021	Gewürze	Wartian Herkku	Finnland	Peacock
58	Escargots de Bourgogne	13,25	6	0%	19.09.2021	Meeresfrüchte	Wartian Herkku	Finnland	Peacock
45	Røgede sild	9,5	20	0%	20.09.2021	Meeresfrüchte	LINO-Delicateses	Venezuela	Leverling
65	Louisiana Fiery Hot Pepper Sauce	21,05	21	0%	20.09.2021	Gewürze	LINO-Delicateses	Venezuela	Leverling
72	Mozzarella di Giovanni	34,8	60	0%	20.09.2021	Milchprodukte	LINO-Delicateses	Venezuela	Leverling
18	Carnarvon Tigers	62,5	8	0%	20.09.2021	Meeresfrüchte	Santé Gourmet	Norwegen	King
69	Gudbrandsdalsost	36	20	25%	21.09.2021	Milchprodukte	Die Wandernde Kuh	Deutschland	Peacock
70	Outback Lager	15	15	25%	21.09.2021	Getränke	Die Wandernde Kuh	Deutschland	Peacock
2	Chang	19	50	0%	22.09.2021	Getränke	HILARIÓN-Abastos	Venezuela	Peacock
40	Boston Crab Meat	18,4	60	0%	22.09.2021	Meeresfrüchte	HILARIÓN-Abastos	Venezuela	Peacock
21	Sir Rodney's Scones	10	30	20%	22.09.2021	Süßwaren	Simons bistro	Dänemark	King
61	Sirop d'érable	28,5	20	20%	22.09.2021	Gewürze	Simons bistro	Dänemark	King
2	Chang	19	50	0%	22.09.2021	Getränke	Gomez-Abastos	Venezuela	Peacock
40	Boston Crab Meat	18,4	60	0%	22.09.2021	Meeresfrüchte	Gomez-Abastos	Venezuela	Peacock
28	Rössle Sauerkraut	45,6	15	25%	25.09.2021	Naturprodukte	Alfreds Futterkiste	Deutschland	Suyama
39	Chartreuse verte	18	21	25%	25.09.2021	Getränke	Alfreds Futterkiste	Deutschland	Suyama
46	Spegesild	12	2	25%	25.09.2021	Meeresfrüchte	Alfreds Futterkiste	Deutschland	Suyama
18	Carnarvon Tigers	62,5	4	10%	25.09.2021	Meeresfrüchte	Wellington Importadora	Brasilien	Leverling
43	Ipoh Coffee	46	20	0%	25.09.2021	Getränke	Wellington Importadora	Brasilien	Leverling
46	Spegesild	12	21	10%	25.09.2021	Meeresfrüchte	Wellington Importadora	Brasilien	Leverling
18	Carnarvon Tigers	62,5	4	10%	25.09.2021	Meeresfrüchte	Sapateiro Importadora	Brasilien	Leverling
43	Ipoh Coffee	46	20	0%	25.09.2021	Getränke	Sapateiro Importadora	Brasilien	Leverling
46	Spegesild	12	21	10%	25.09.2021	Meeresfrüchte	Sapateiro Importadora	Brasilien	Leverling
18	Carnarvon Tigers	62,5	20	0%	26.09.2021	Meeresfrüchte	Hanari Carnes	Brasilien	Peacock
36	Inlagd Sill	19	15	0%	26.09.2021	Meeresfrüchte	Hanari Carnes	Brasilien	Peacock
18	Carnarvon Tigers	62,5	20	0%	26.09.2021	Meeresfrüchte	Gomez Carnes	Brasilien	Peacock
36	Inlagd Sill	19	15	0%	26.09.2021	Meeresfrüchte	Gomez Carnes	Brasilien	Peacock
1	Chai	18	15	25%	27.09.2021	Getränke	Hungry Owl All-Night Grocers	Irland	Dodsworth
10	Ikura	31	18	25%	27.09.2021	Meeresfrüchte	Hungry Owl All-Night Grocers	Irland	Dodsworth
71	Fløtemysost	21,5	30	25%	27.09.2021	Milchprodukte	Hungry Owl All-Night Grocers	Irland	Dodsworth
77	Original Frankfurter grüne Soße	13	35	25%	27.09.2021	Gewürze	Hungry Owl All-Night Grocers	Irland	Dodsworth
19	Teatime Chocolate Biscuits	9,2	30	0%	27.09.2021	Süßwaren	Que Delícia	Brasilien	Peacock
39	Chartreuse verte	18	20	0%	27.09.2021	Getränke	Que Delícia	Brasilien	Peacock
28	Rössle Sauerkraut	45,6	20	0%	28.09.2021	Naturprodukte	Maison Dewey	Belgien	Buchanan
72	Mozzarella di Giovanni	34,8	15	0%	28.09.2021	Milchprodukte	Maison Dewey	Belgien	Buchanan
22	Gustaf's Knäckebröd	21	15	0%	28.09.2021	Getreideprodukte	Ricardo Adocicados	Brasilien	Buchanan
24	Guaraná Fantástica	4,5	15	15%	28.09.2021	Getränke	Ricardo Adocicados	Brasilien	Buchanan
30	Nord-Ost Matjeshering	25,89	30	0%	29.09.2021	Meeresfrüchte	Familia Arquibaldo	Brasilien	Buchanan
53	Perth Pasties	32,8	25	5%	29.09.2021	Fleischprodukte	Familia Arquibaldo	Brasilien	Buchanan
54	Tourtière	7,45	30	0%	29.09.2021	Fleischprodukte	Familia Arquibaldo	Brasilien	Buchanan
30	Nord-Ost Matjeshering	25,89	2	25%	02.10.2021	Meeresfrüchte	Gourmet Lanchonetes	Brasilien	Peacock
42	Singaporean Hokkien Fried Mee	14	20	0%	02.10.2021	Getreideprodukte	Gourmet Lanchonetes	Brasilien	Peacock
19	Teatime Chocolate Biscuits	9,2	12	25%	02.10.2021	Süßwaren	Die Wandernde Kuh	Deutschland	Callahan
22	Gustaf's Knäckebröd	21	20	25%	02.10.2021	Getreideprodukte	Die Wandernde Kuh	Deutschland	Callahan
4	Chef Anton's Cajun Seasoning	22	12	10%	03.10.2021	Gewürze	Berglunds snabbköp	Schweden	Buchanan
39	Chartreuse verte	18	20	10%	03.10.2021	Getränke	Berglunds snabbköp	Schweden	Buchanan
54	Tourtière	7,45	6	10%	03.10.2021	Fleischprodukte	Berglunds snabbköp	Schweden	Buchanan
16	Pavlova	17,45	30	10%	03.10.2021	Süßwaren	Frankenversand	Deutschland	Davolio
60	Camembert Pierrot	34	20	10%	03.10.2021	Milchprodukte	Frankenversand	Deutschland	Davolio
41	Jack's New England Clam Chowder	9,65	20	20%	04.10.2021	Meeresfrüchte	Reggiani Caseifici	Italien	Davolio
14	Tofu	23,25	3	10%	05.10.2021	Naturprodukte	Great Lakes Food Market	USA	Suyama
44	Gula Malacca	19,45	28	10%	05.10.2021	Gewürze	Great Lakes Food Market	USA	Suyama
47	Zaanse koeken	9,5	6	10%	05.10.2021	Süßwaren	Great Lakes Food Market	USA	Suyama
15	Genen Shouyu	15,5	50	0%	05.10.2021	Gewürze	Save-a-lot Markets	USA	Fuller
41	Jack's New England Clam Chowder	9,65	24	0%	05.10.2021	Meeresfrüchte	Save-a-lot Markets	USA	Fuller
46	Spegesild	12	45	0%	05.10.2021	Meeresfrüchte	Save-a-lot Markets	USA	Fuller
47	Zaanse koeken	9,5	10	0%	05.10.2021	Süßwaren	Save-a-lot Markets	USA	Fuller
56	Gnocchi di nonna Alice	38	45	0%	05.10.2021	Getreideprodukte	Save-a-lot Markets	USA	Fuller
60	Camembert Pierrot	34	30	0%	05.10.2021	Milchprodukte	Save-a-lot Markets	USA	Fuller
31	Gorgonzola Telino	12,5	20	5%	06.10.2021	Milchprodukte	Queen Cozinha	Brasilien	King
40	Boston Crab Meat	18,4	24	5%	06.10.2021	Meeresfrüchte	Queen Cozinha	Brasilien	King
70	Outback Lager	15	40	5%	06.10.2021	Getränke	Queen Cozinha	Brasilien	King
21	Sir Rodney's Scones	10	60	0%	06.10.2021	Süßwaren	QUICK-Stop	Deutschland	Peacock
40	Boston Crab Meat	18,4	70	5%	06.10.2021	Meeresfrüchte	QUICK-Stop	Deutschland	Peacock
60	Camembert Pierrot	34	55	5%	06.10.2021	Milchprodukte	QUICK-Stop	Deutschland	Peacock
77	Original Frankfurter grüne Soße	13	70	5%	06.10.2021	Gewürze	QUICK-Stop	Deutschland	Peacock
20	Sir Rodney's Marmalade	81	21	0%	09.10.2021	Süßwaren	Hungry Coyote Import Store	USA	Callahan
39	Chartreuse verte	18	3	20%	10.10.2021	Getränke	Hungry Owl All-Night Grocers	Irland	King
58	Escargots de Bourgogne	13,25	49	20%	10.10.2021	Meeresfrüchte	Hungry Owl All-Night Grocers	Irland	King
68	Scottish Longbreads	12,5	10	0%	10.10.2021	Süßwaren	Lonesome Pine Restaurant	USA	Leverling
40	Boston Crab Meat	18,4	30	5%	11.10.2021	Meeresfrüchte	Bon app'	Frankreich	Fuller
42	Singaporean Hokkien Fried Mee	14	30	5%	11.10.2021	Getreideprodukte	Bon app'	Frankreich	Fuller
51	Manjimup Dried Apples	53	20	5%	11.10.2021	Naturprodukte	Bon app'	Frankreich	Fuller
10	Ikura	31	24	15%	11.10.2021	Meeresfrüchte	Furia Bacalhau e Frutos do Mar	Portugal	Davolio
56	Gnocchi di nonna Alice	38	12	15%	11.10.2021	Getreideprodukte	Furia Bacalhau e Frutos do Mar	Portugal	Davolio
65	Louisiana Fiery Hot Pepper Sauce	21,05	15	15%	11.10.2021	Gewürze	Furia Bacalhau e Frutos do Mar	Portugal	Davolio
51	Manjimup Dried Apples	53	20	0%	12.10.2021	Naturprodukte	Lonesome Pine Restaurant	USA	Davolio
59	Raclette Courdavault	55	1	0%	12.10.2021	Milchprodukte	Lonesome Pine Restaurant	USA	Davolio
76	Lakkalikööri	18	10	0%	12.10.2021	Getränke	Lonesome Pine Restaurant	USA	Davolio
69	Gudbrandsdalsost	36	45	20%	13.10.2021	Milchprodukte	Ernst Handel	Österreich	King
71	Fløtemysost	21,5	14	20%	13.10.2021	Milchprodukte	Ernst Handel	Österreich	King
29	Thüringer Rostbratwurst	123,79	36	0%	13.10.2021	Fleischprodukte	Richter Supermarkt	Schweiz	King
65	Louisiana Fiery Hot Pepper Sauce	21,05	10	0%	13.10.2021	Gewürze	Richter Supermarkt	Schweiz	King
69	Gudbrandsdalsost	36	45	20%	13.10.2021	Milchprodukte	Ludwig Handel	Österreich	King
71	Fløtemysost	21,5	14	20%	13.10.2021	Milchprodukte	Ludwig Handel	Österreich	King
36	Inlagd Sill	19	30	0%	16.10.2021	Meeresfrüchte	Simons bistro	Dänemark	Fuller
31	Gorgonzola Telino	12,5	8	10%	16.10.2021	Milchprodukte	Die Wandernde Kuh	Deutschland	Davolio
55	Pâté chinois	24	4	10%	16.10.2021	Fleischprodukte	Die Wandernde Kuh	Deutschland	Davolio
64	Wimmers gute Semmelknödel	33,25	15	10%	16.10.2021	Getreideprodukte	Die Wandernde Kuh	Deutschland	Davolio
23	Tunnbröd	9	32	0%	17.10.2021	Getreideprodukte	Frankenversand	Deutschland	Peacock
46	Spegesild	12	60	0%	17.10.2021	Meeresfrüchte	Frankenversand	Deutschland	Peacock
67	Laughing Lumberjack Lager	14	25	0%	17.10.2021	Getränke	Frankenversand	Deutschland	Peacock
73	Röd Kaviar	15	50	0%	17.10.2021	Meeresfrüchte	Frankenversand	Deutschland	Peacock
75	Rhönbräu Klosterbier	7,75	25	0%	17.10.2021	Getränke	Frankenversand	Deutschland	Peacock
38	Côte de Blaye	263,5	15	10%	18.10.2021	Getränke	Berglunds snabbköp	Schweden	Dodsworth
71	Fløtemysost	21,5	12	0%	18.10.2021	Milchprodukte	Berglunds snabbköp	Schweden	Dodsworth
16	Pavlova	17,45	10	0%	18.10.2021	Süßwaren	France restauration	Frankreich	Davolio
62	Tarte au sucre	49,3	10	0%	18.10.2021	Süßwaren	France restauration	Frankreich	Davolio
65	Louisiana Fiery Hot Pepper Sauce	21,05	12	0%	18.10.2021	Gewürze	France restauration	Frankreich	Davolio
23	Tunnbröd	9	5	0%	19.10.2021	Getreideprodukte	Island Trading	Großbritannien	Peacock
16	Pavlova	17,45	3	0%	19.10.2021	Süßwaren	Wilman Kala	Finnland	Fuller
42	Singaporean Hokkien Fried Mee	14	6	0%	19.10.2021	Getreideprodukte	Wilman Kala	Finnland	Fuller
43	Ipoh Coffee	46	6	0%	19.10.2021	Getränke	Wilman Kala	Finnland	Fuller
14	Tofu	23,25	30	0%	20.10.2021	Naturprodukte	Frankenversand	Deutschland	Buchanan
53	Perth Pasties	32,8	10	0%	20.10.2021	Fleischprodukte	Frankenversand	Deutschland	Buchanan
58	Escargots de Bourgogne	13,25	30	0%	20.10.2021	Meeresfrüchte	Frankenversand	Deutschland	Buchanan
26	Gumbär Gummibärchen	31,23	30	15%	23.10.2021	Süßwaren	Antonio Moreno Taquería	Mexiko	Davolio
33	Geitost	2,5	8	15%	23.10.2021	Milchprodukte	Antonio Moreno Taquería	Mexiko	Davolio
10	Ikura	31	2	0%	23.10.2021	Meeresfrüchte	Tortuga Restaurante	Mexiko	Fuller
19	Teatime Chocolate Biscuits	9,2	7	0%	23.10.2021	Süßwaren	Tortuga Restaurante	Mexiko	Fuller
44	Gula Malacca	19,45	21	0%	23.10.2021	Gewürze	Tortuga Restaurante	Mexiko	Fuller
59	Raclette Courdavault	55	12	0%	24.10.2021	Milchprodukte	Blondel père et fils	Frankreich	Callahan
12	Queso Manchego La Pastora	38	100	0%	24.10.2021	Milchprodukte	Save-a-lot Markets	USA	King
33	Geitost	2,5	30	0%	24.10.2021	Milchprodukte	Save-a-lot Markets	USA	King
41	Jack's New England Clam Chowder	9,65	120	0%	24.10.2021	Meeresfrüchte	Save-a-lot Markets	USA	King
54	Tourtière	7,45	30	0%	24.10.2021	Fleischprodukte	Save-a-lot Markets	USA	King
16	Pavlova	17,45	50	25%	25.10.2021	Süßwaren	Old World Delicatessen	USA	Davolio
31	Gorgonzola Telino	12,5	20	25%	25.10.2021	Milchprodukte	Old World Delicatessen	USA	Davolio
42	Singaporean Hokkien Fried Mee	14	40	25%	25.10.2021	Getreideprodukte	Old World Delicatessen	USA	Davolio
33	Geitost	2,5	30	0%	26.10.2021	Milchprodukte	Antonio Moreno Taquería	Mexiko	Leverling
66	Louisiana Hot Spiced Okra	17	4	0%	26.10.2021	Gewürze	Antonio Moreno Taquería	Mexiko	Leverling
75	Rhönbräu Klosterbier	7,75	30	0%	26.10.2021	Getränke	Antonio Moreno Taquería	Mexiko	Leverling
19	Teatime Chocolate Biscuits	9,2	30	10%	26.10.2021	Süßwaren	Great Lakes Food Market	USA	Leverling
21	Sir Rodney's Scones	10	12	10%	26.10.2021	Süßwaren	Great Lakes Food Market	USA	Leverling
64	Wimmers gute Semmelknödel	33,25	28	0%	26.10.2021	Getreideprodukte	Great Lakes Food Market	USA	Leverling
52	Filo Mix	7	9	0%	27.10.2021	Getreideprodukte	Du monde entier	Frankreich	Fuller
40	Boston Crab Meat	18,4	20	0%	27.10.2021	Meeresfrüchte	Ottilies Käseladen	Deutschland	Leverling
47	Zaanse koeken	9,5	40	0%	27.10.2021	Süßwaren	Ottilies Käseladen	Deutschland	Leverling
60	Camembert Pierrot	34	30	0%	27.10.2021	Milchprodukte	Ottilies Käseladen	Deutschland	Leverling
40	Boston Crab Meat	18,4	20	0%	27.10.2021	Meeresfrüchte	Dieters Käseladen	Deutschland	Leverling
47	Zaanse koeken	9,5	40	0%	27.10.2021	Süßwaren	Dieters Käseladen	Deutschland	Leverling
60	Camembert Pierrot	34	30	0%	27.10.2021	Milchprodukte	Dieters Käseladen	Deutschland	Leverling
10	Ikura	31	20	0%	30.10.2021	Meeresfrüchte	Gourmet Lanchonetes	Brasilien	Peacock
41	Jack's New England Clam Chowder	9,65	4	0%	30.10.2021	Meeresfrüchte	Gourmet Lanchonetes	Brasilien	Peacock
47	Zaanse koeken	9,5	15	0%	30.10.2021	Süßwaren	Gourmet Lanchonetes	Brasilien	Peacock
9	Mishi Kobe Niku	97	50	25%	31.10.2021	Fleischprodukte	Hungry Owl All-Night Grocers	Irland	Dodsworth
29	Thüringer Rostbratwurst	123,79	10	0%	31.10.2021	Fleischprodukte	Hungry Owl All-Night Grocers	Irland	Dodsworth
36	Inlagd Sill	19	6	25%	31.10.2021	Meeresfrüchte	Hungry Owl All-Night Grocers	Irland	Dodsworth
